id_endereco,id_cliente,logradouro,numero,bairro,cidade,estado,cep,created_at
1309,3381,Rua Valentim Macedo,56,Nossa Senhora Da Conceição,Cassiano de Castro,RR,31120898,2023-06-15 21:31:50
1310,1660,Conjunto Rodrigues,33,Grotinha,Silva,PB,48749065,2024-09-05 20:29:03
1311,1347,Via Levi Ribeiro,9,Aparecida 7ª Seção,Gonçalves de Nascimento,BA,04574-855,2023-10-23 04:52:59
1312,4871,Setor Maria Helena Marques,227,Santa Amelia,Freitas de Farias,DF,59718-653,2025-10-27 22:50:25
1313,1803,Vale Cauê Sales,25,Canadá,Santos,MS,99932596,2024-04-21 08:39:52
1314,779,Praça Joaquim Moraes,54,Ambrosina,da Conceição das Flores,GO,22914-135,2024-09-14 23:14:31
1315,4939,Viaduto de das Neves,816,Vila Calafate,da Mata do Norte,RR,54214-259,2022-12-15 15:17:34
1316,1972,Quadra Nina Oliveira,48,Europa,Almeida,TO,90417489,2025-03-18 13:08:20
1317,712,Recanto Murilo Novaes,97,Betânia,Pinto,MG,82931-024,2024-06-26 13:53:48
1318,1275,Favela Souza,64,Vila Do Pombal,Correia,MA,60010305,2024-12-05 06:09:21
1319,1245,Loteamento da Rosa,319,Cenaculo,Monteiro,SC,35573-607,2025-05-10 05:09:31
1320,1366,Área Câmara,10,Marieta 3ª Seção,Silva,AP,29241708,2023-11-25 22:12:00
1321,589,Distrito Valentina Montenegro,45,Conjunto Capitão Eduardo,Camargo,RO,08642116,2023-02-04 23:09:38
1322,1838,Estrada Ribeiro,27,Vila Da Luz,Vasconcelos de Cunha,TO,65133-249,2025-05-22 21:38:00
1323,1617,Rodovia Ravi Garcia,77,Caiçaras,Porto,SC,08240951,2024-01-04 10:38:17
1324,2880,Sítio da Rosa,9,Coqueiros,Almeida,GO,45690739,2025-07-10 17:08:21
1325,2125,Rodovia Oliveira,506,Carmo,Abreu do Amparo,AM,81744802,2025-03-16 17:49:44
1326,3635,Trevo de Novaes,7,São Benedito,Peixoto de Gonçalves,BA,84658-458,2023-08-12 20:48:26
1327,2863,Vila Albuquerque,79,Granja De Freitas,Vieira do Norte,MS,91392-511,2024-05-24 05:18:10
1328,412,Parque Isabela Gomes,63,Monsenhor Messias,Aragão do Norte,AP,87550173,2024-08-17 16:51:39
1329,661,Praia Eduarda Nunes,33,Jardim Guanabara,da Mota,BA,76965716,2023-04-08 10:32:09
1330,120,Núcleo de Borges,99,Vila Madre Gertrudes 1ª Seção,Borges Paulista,PR,88467706,2024-06-19 07:59:19
1331,3571,Lago Rafael Porto,1,São Lucas,Macedo,PR,74436-703,2025-01-17 08:13:10
1332,4229,Vereda de Nascimento,28,Vila Oeste,Novais,MA,93380-134,2024-06-01 07:32:42
1333,2424,Passarela Thomas Ribeiro,28,Alto Vera Cruz,Monteiro da Prata,PB,33075-316,2025-11-11 14:03:50
1334,2407,Fazenda de da Cunha,7,Inconfidência,Moura Alegre,ES,69918297,2025-02-03 07:52:30
1335,1214,Campo Amanda Borges,66,Vila Madre Gertrudes 3ª Seção,Costela de Costela,SE,60835643,2024-03-11 10:12:03
1336,1732,Fazenda Mendes,77,Ventosa,Mendes Alegre,PR,60652-687,2024-09-12 16:02:12
1337,2103,Setor Bernardo Leão,62,Vila Fumec,Casa Grande de Minas,RR,19303-178,2025-03-14 15:37:44
1338,4232,Trecho Ana Monteiro,197,Leonina,Fonseca,PR,55870613,2023-08-30 14:51:02
1339,79,Condomínio Augusto das Neves,86,Europa,Montenegro,TO,16471-643,2023-09-21 19:53:35
1340,2156,Rua Freitas,42,Lajedo,Ribeiro,MT,31760-173,2024-04-10 06:39:08
1341,842,Rodovia Costela,95,Flamengo,Brito,RN,63261866,2024-04-19 07:43:18
1342,1626,Parque Arthur Gabriel da Conceição,85,Buraco Quente,Ramos de Pereira,DF,59515435,2025-03-06 14:39:50
1343,3650,Trevo Luiz Felipe Cassiano,18,Piraja,Fogaça de Minas,PE,43495-556,2023-07-23 03:12:32
1344,4769,Fazenda de Viana,251,Bonfim,Porto do Amparo,RN,68763-323,2022-12-19 09:41:24
1345,2918,Viaduto de Almeida,23,Maravilha,Moura das Flores,CE,21853993,2024-08-19 17:47:22
1346,1540,Estrada Marina Porto,1,Vila Petropolis,Fonseca de Nogueira,MS,52584-653,2022-12-01 12:11:54
1347,3418,Ladeira Teixeira,33,Conjunto Celso Machado,Novaes,RN,45656-579,2023-09-27 08:08:14
1348,3533,Via de Cunha,504,Gutierrez,Viana de Moreira,SC,64552271,2023-08-20 01:04:53
1349,3908,Rua Brayan Pinto,24,Rio Branco,Sá Grande,SP,36113-177,2024-04-28 05:14:45
1350,4744,Colônia Bella Pires,98,Vila Minaslandia,Nascimento,RO,41225-484,2024-11-15 12:15:04
1351,1135,Lagoa Maria Júlia Fonseca,68,Vila Real 2ª Seção,Ribeiro da Prata,RS,15615097,2023-01-20 09:53:37
1352,852,Rodovia de Cirino,69,Estoril,Souza,AL,86253-163,2025-01-31 13:52:14
1353,4475,Conjunto Raul Pires,89,Vila São Geraldo,Machado,ES,79105539,2025-02-25 13:31:37
1354,2346,Distrito Luiz Miguel Pacheco,17,Lindéia,Pires,MT,14330905,2024-12-23 08:48:23
1355,1274,Morro de da Conceição,21,Vila Nova Gameleira 2ª Seção,Leão,AL,75977619,2023-05-09 01:48:58
1356,1024,Praia Enzo Fogaça,41,Beira Linha,da Mota,DF,67855-030,2023-04-15 01:03:56
1357,2041,Conjunto Valentina Moura,70,Vila Minaslandia,da Luz das Flores,MS,21949914,2022-12-01 02:58:39
1358,812,Sítio Kamilly Nunes,10,Pilar,Alves do Campo,RS,60577185,2024-02-20 02:25:34
1359,1023,Vereda Cassiano,58,São Gonçalo,Carvalho,PI,16399-842,2024-01-25 06:02:29
1360,1377,Setor da Rosa,549,Itapoa,Albuquerque da Prata,GO,27706401,2025-05-26 05:02:09
1361,785,Vila Mariane da Cruz,2,Guaratã,Azevedo,RR,48212-369,2025-04-14 16:52:08
1362,491,Parque Lavínia Leão,335,Estrela,Fonseca,PI,84324846,2023-12-03 09:02:22
1363,2525,Pátio Kaique da Luz,10,Nova Granada,das Neves do Campo,MA,96393884,2023-05-03 07:49:17
1364,483,Esplanada Emanuella Aparecida,56,Bonsucesso,Aragão da Praia,AC,28343620,2025-04-30 02:51:46
1365,321,Aeroporto Luísa Nunes,63,Alto Vera Cruz,da Costa,AM,20622315,2025-09-21 13:26:17
1366,1501,Vereda Hadassa da Paz,23,Vila Jardim Montanhes,da Luz,ES,56839573,2025-09-27 01:11:20
1367,3504,Vereda de Viana,48,Vila Suzana Segunda Seção,Mendes,AM,92546-567,2024-09-19 03:35:40
1368,2823,Área Sampaio,7,São Jorge 2ª Seção,Andrade,RR,23422-520,2023-09-04 10:18:07
1369,21,Área Marcos Vinicius Mendonça,9,São Jorge 2ª Seção,Machado das Pedras,MS,84828-844,2024-01-31 07:55:35
1370,3926,Travessa Cecilia Mendes,210,Santo Antônio,Cavalcanti da Praia,AL,25812-663,2025-04-09 17:00:59
1371,1417,Esplanada Maria Flor da Costa,59,Nova Cachoeirinha,Melo das Pedras,PR,61694-673,2025-02-07 08:30:44
1372,2868,Largo Cavalcante,95,São Bento,Sá do Amparo,SC,17269-488,2024-04-17 20:49:33
1373,2987,Travessa Sá,555,Santana Do Cafezal,Pimenta do Campo,AL,44886489,2024-10-07 02:26:09
1374,4089,Loteamento de Borges,97,Vitoria,Cavalcanti,PB,05929-442,2023-11-28 00:29:05
1375,2565,Residencial de Duarte,811,Garças,Garcia de Silva,SE,14476636,2023-03-05 18:05:05
1376,95,Setor Ana Liz Nogueira,54,Vila Dos Anjos,Santos das Pedras,DF,26788053,2024-03-07 02:55:00
1377,3404,Ladeira de Vasconcelos,391,Conjunto Taquaril,da Rocha do Oeste,PB,72841121,2025-10-28 15:10:17
1378,733,Estação de da Paz,84,Vila Nova Gameleira 1ª Seção,Duarte de Ribeiro,DF,24411-152,2023-04-12 08:10:00
1379,3797,Distrito Fonseca,58,Vila Puc,Sampaio,RJ,95518-858,2023-02-28 22:30:50
1380,2345,Núcleo de Pires,1,Pindura Saia,Montenegro Grande,RN,32418943,2025-07-05 10:23:53
1381,2608,Favela Alexandre Aparecida,47,Jardim Montanhês,Vargas de Caldeira,SE,00100-369,2024-12-25 08:27:11
1382,1767,Recanto de Mendes,82,Aparecida,Albuquerque de Minas,RO,34511294,2025-08-04 12:01:30
1383,92,Quadra Leão,46,Aguas Claras,das Neves,AL,78111-152,2023-04-06 09:24:13
1384,3179,Travessa Garcia,1,Ernesto Nascimento,Aragão,PR,22003274,2025-10-23 19:23:55
1385,1998,Morro Almeida,42,Ademar Maldonado,Mendonça,GO,23774726,2023-12-20 07:33:15
1386,119,Jardim Lopes,70,Alto Barroca,da Costa,RJ,29542537,2025-03-01 17:24:06
1387,2921,Avenida Vieira,5,Madre Gertrudes,Pacheco,AL,41473154,2025-09-01 21:25:06
1388,1543,Praça Ramos,8,Maria Goretti,Nogueira,AL,32823516,2023-11-02 01:56:35
1389,1514,Esplanada Davi Luiz Lima,21,Vila Paris,Moraes,TO,49451140,2023-04-30 03:19:01
1390,1013,Feira de Gonçalves,13,São Tomaz,Gonçalves,SE,80839-208,2024-08-11 20:23:19
1391,1328,Trecho Letícia Fonseca,87,Acaba Mundo,Martins de Cavalcante,ES,63443710,2024-06-18 09:41:24
1392,3914,Residencial de Cunha,10,Vila Pinho,da Cunha,AP,85895098,2022-12-29 03:36:12
1393,1505,Avenida Thomas Mendonça,746,Custodinha,Nascimento da Prata,AM,52960-090,2024-02-17 15:34:31
1394,578,Vila Vinicius Mendes,201,Pongelupe,Aparecida do Amparo,MG,52890587,2024-02-19 22:57:34
1395,4838,Morro de Garcia,76,Diamante,Mendonça do Sul,ES,01033433,2025-04-16 03:55:25
1396,1026,Lago da Mata,27,Satelite,Sampaio da Praia,GO,57539-242,2024-06-02 15:29:46
1397,1485,Quadra Peixoto,1,Apolonia,da Costa,DF,22289460,2022-12-24 14:53:31
1398,3749,Residencial Ayla Correia,424,Bandeirantes,Castro Grande,MT,02156276,2024-12-04 23:22:27
1399,1844,Morro de Pastor,368,Dona Clara,Rodrigues,MG,08299-434,2025-08-30 10:22:34
1400,959,Campo de da Costa,23,Vila Jardim São José,Pastor,MS,38665104,2025-05-25 03:56:34
1401,3500,Passarela Emanuelly Caldeira,504,Bandeirantes,Campos Verde,PE,67225356,2023-04-01 13:13:41
1402,4537,Distrito Santos,9,Pindorama,Rodrigues de Goiás,MG,26004688,2023-02-22 13:08:40
1403,4415,Núcleo Costa,986,Araguaia,Vieira do Oeste,AC,61678854,2025-07-25 10:35:45
1404,3155,Avenida Pinto,54,Tiradentes,da Cruz,AP,60827-784,2024-01-30 00:27:41
1405,1126,Rua Cavalcanti,48,São Gabriel,Barbosa,GO,69294-367,2023-11-15 09:28:45
1406,725,Rodovia de Caldeira,476,Vila Copasa,Souza,TO,66008-269,2024-01-29 12:31:29
1407,494,Estação Cecilia Sá,41,Leticia,Barbosa Verde,SP,77152667,2023-07-28 13:25:26
1408,4842,Rua Pimenta,8,São Salvador,Freitas de Cavalcante,SP,84175283,2024-05-23 11:23:50
1409,4711,Rua Valentina da Mata,6,Conjunto Paulo Vi,da Rocha,RS,67121389,2024-09-12 03:01:02
1410,4207,Trevo André Campos,68,Anchieta,Jesus de da Cunha,PB,77504-306,2023-07-24 22:27:01
1411,1340,Pátio Heloisa Sá,3,Vila Paraíso,da Paz de da Rosa,PI,00079-393,2023-05-29 15:34:23
1412,1012,Travessa Cardoso,36,Carmo,Monteiro das Pedras,PA,86226039,2024-03-26 21:02:10
1413,933,Vila Aparecida,6,Granja Werneck,Sá de Cunha,MT,39839662,2025-01-05 12:31:46
1414,4811,Praça Sampaio,5,Vila Nova Gameleira 1ª Seção,Barbosa Paulista,RS,22823584,2022-11-24 11:24:06
1415,4573,Praia Luiz Otávio Guerra,19,Fazendinha,da Cruz do Sul,MT,49230010,2024-07-02 21:24:35
1416,2303,Largo Rios,66,Grajaú,Ramos de Sousa,PR,53702-989,2023-07-17 03:47:55
1417,4887,Morro Gonçalves,92,Vila Oeste,Leão,BA,06454-129,2023-12-19 19:55:56
1418,1594,Distrito Alves,9,Vila Independencia 2ª Seção,Montenegro de Fogaça,AP,82193915,2025-05-05 12:02:17
1419,4183,Aeroporto Raul da Paz,99,Frei Leopoldo,da Costa do Sul,ES,90534-255,2023-08-21 06:34:41
1420,1883,Pátio de Teixeira,89,Penha,da Paz Alegre,MA,21366683,2024-11-01 05:17:36
1421,760,Via Otto Porto,9,Venda Nova,Fogaça do Campo,PB,58712-472,2024-08-03 01:17:20
1422,2082,Avenida de da Rocha,83,Pantanal,Guerra,RR,47776529,2023-09-16 03:58:24
1423,741,Travessa Brayan Porto,80,Silveira,Nogueira da Serra,PE,64406-857,2024-07-25 07:25:48
1424,3208,Vereda de Moreira,84,Granja Werneck,Macedo da Mata,RO,80998645,2022-12-13 04:54:28
1425,1160,Feira Andrade,3,São José,Rezende Verde,CE,98588-078,2025-05-11 04:13:03
1426,4316,Lago Pastor,58,Ribeiro De Abreu,da Cruz de Teixeira,ES,77267005,2023-03-05 10:05:25
1427,558,Trevo Larissa Araújo,98,Barroca,Cavalcante,SE,80549-403,2023-11-19 09:35:55
1428,1583,Vale de Oliveira,1,Floresta,da Mota,DF,08971-077,2024-10-31 13:40:51
1429,4209,Residencial Thiago Martins,35,São Geraldo,Ramos,GO,65149072,2024-03-21 03:42:55
1430,1887,Trevo de Mendes,70,São Bento,Souza,AM,10235710,2023-02-04 01:26:08
1431,1022,Lago Moraes,7,Vila Suzana Primeira Seção,Silveira,BA,62070-427,2023-07-28 15:20:39
1432,2127,Colônia de Montenegro,62,Independência,Almeida das Flores,BA,05032778,2023-02-08 05:01:09
1433,3984,Ladeira Machado,6,Barreiro,Duarte,RS,51234845,2025-02-19 10:39:24
1434,3525,Rodovia Melo,90,Guarani,Rezende Paulista,RN,19067-571,2025-02-18 13:22:33
1435,4484,Avenida Heloisa da Luz,402,Vila Puc,Barbosa do Amparo,MT,60541897,2025-04-16 13:46:32
1436,4313,Área da Cunha,45,Vila Nova,Nascimento de Duarte,SE,00710-513,2023-12-07 13:41:35
1437,162,Área Peixoto,28,Nova Suíça,Novais de Goiás,MG,06184487,2023-05-13 03:03:25
1438,4999,Rua Marcos Vinicius Pires,79,Solimoes,Siqueira Grande,SC,92886-524,2024-07-12 12:53:29
1439,872,Praia Alves,770,Paulo Vi,Jesus Paulista,CE,45476843,2024-03-02 14:01:44
1440,3567,Praia Valentina Moreira,33,Marieta 2ª Seção,Cardoso de Moura,PA,45475-837,2023-04-02 15:21:46
1441,1211,Jardim Breno das Neves,58,Minas Brasil,Aparecida,DF,84725-587,2024-05-09 01:15:38
1442,995,Pátio Montenegro,14,Vila Independencia 1ª Seção,Guerra do Oeste,PA,81951-622,2023-08-06 22:58:08
1443,975,Jardim Gabriel Montenegro,82,São José,Fogaça Verde,RR,00943817,2023-08-31 16:57:46
1444,940,Vila de Pereira,61,Vila Cloris,da Luz,RN,78816263,2025-02-28 06:12:09
1445,4451,Loteamento de Caldeira,851,Santa Rita,Silveira das Pedras,CE,31109149,2023-07-29 15:15:11
1446,2618,Núcleo Andrade,255,Floramar,Novais da Prata,SE,78903777,2025-02-10 10:11:53
1447,2635,Loteamento Rodrigues,47,Vila Piratininga,Mendonça Grande,DF,48323980,2025-08-08 05:49:47
1448,1598,Quadra Ana Luiza da Mata,613,Dom Cabral,Oliveira de Barros,CE,73072-427,2025-06-27 21:23:06
1449,2914,Travessa Sophie Barros,14,Bom Jesus,Leão de Casa Grande,TO,60805-702,2024-06-20 06:43:12
1450,303,Área Nicolas da Cruz,83,Sagrada Família,Fonseca de Gonçalves,BA,81896-555,2024-10-20 13:06:22
1451,1947,Sítio da Luz,42,Confisco,Sá,TO,46242112,2023-04-19 22:04:05
1452,4841,Lago Casa Grande,616,Santa Rita,Vasconcelos,AP,89880-612,2024-10-18 01:46:23
1453,4560,Conjunto Cardoso,1,Granja Werneck,Porto,RR,03921274,2023-03-20 09:38:46
1454,2202,Passarela Antony Borges,36,Coração Eucarístico,Fernandes,RR,02673735,2025-03-19 08:41:51
1455,3959,Passarela Miguel Gomes,84,Santa Isabel,Carvalho,AL,63372847,2025-09-20 15:00:38
1456,4009,Largo de Barros,1,Jardim Vitoria,Macedo de Viana,MG,87554-123,2024-06-04 02:33:41
1457,3996,Lago de Moura,57,Palmares,Montenegro do Norte,ES,48196-286,2025-03-10 00:51:46
1458,601,Largo Theodoro Nascimento,807,Dom Bosco,Fonseca de Casa Grande,ES,52635-844,2022-11-28 17:57:34
1459,4657,Sítio Augusto da Cunha,14,Tirol,Fernandes,MT,38542155,2025-01-28 23:59:13
1460,159,Estação Dias,8,Vila Aeroporto,Marques de Correia,AC,66804-782,2025-02-26 14:18:53
1461,2298,Alameda Nicole Albuquerque,21,Paquetá,Casa Grande de Marques,AL,71041772,2024-07-12 02:38:03
1462,2518,Rodovia Josué Aragão,96,Vitoria,Siqueira,RO,06732029,2024-12-20 03:45:28
1463,2338,Quadra de Ribeiro,60,Atila De Paiva,Ferreira de Moreira,MA,46103-126,2024-10-26 02:20:00
1464,2954,Vereda Sales,38,Vila Da Paz,Dias,AL,34301137,2024-01-04 09:33:58
1465,169,Viaduto Moura,94,Corumbiara,Lima do Sul,AL,58144-734,2024-09-27 00:15:44
1466,2569,Via Nogueira,607,Vila Oeste,Câmara da Mata,MA,21585-291,2025-08-03 22:29:39
1467,1364,Condomínio Farias,4,Vila Paraíso,Almeida da Praia,MT,23901522,2024-11-26 01:22:56
1468,3401,Conjunto Silva,75,Buraco Quente,Sales,CE,73726618,2024-05-06 08:37:04
1469,1399,Favela de Araújo,71,Santa Cruz,Farias,RN,24525-579,2025-05-01 16:51:58
1470,2650,Vereda Ramos,193,Prado,Carvalho,AP,59507989,2023-12-05 13:01:25
1471,2014,Estrada Juliana Pires,22,Alpes,Abreu de Gonçalves,RR,83819999,2023-01-10 23:23:17
1472,589,Chácara de Pastor,3,Jatobá,Sá de Goiás,MG,56334-733,2023-08-24 02:27:37
1473,162,Avenida de Pastor,6,São Pedro,Leão da Prata,AM,37202-907,2023-08-25 19:19:27
1474,4582,Rodovia de Pastor,891,Túnel De Ibirité,Gomes da Prata,RN,53535783,2023-03-11 22:50:59
1475,1657,Passarela Asafe Viana,54,Barro Preto,Teixeira,BA,28713-514,2023-12-09 05:07:08
1476,97,Passarela Monteiro,4,Vila Independencia 1ª Seção,da Conceição do Amparo,PI,30201-037,2023-07-14 15:11:15
1477,1643,Sítio de Cunha,47,Ribeiro De Abreu,Borges,PA,10697350,2023-01-20 02:32:33
1478,423,Conjunto Benício da Mata,35,Delta,Borges de Minas,SC,39460011,2025-06-30 03:44:04
1479,3748,Estação Calebe Pastor,82,Maria Goretti,Pires do Galho,BA,92932784,2023-06-19 21:07:28
1480,3489,Estrada de Fogaça,1,Piraja,Aragão da Praia,BA,75266941,2025-06-14 21:57:10
1481,3293,Morro Campos,612,Pindura Saia,das Neves dos Dourados,RJ,04050-355,2023-02-08 04:04:21
1482,287,Passarela de Silveira,53,Ribeiro De Abreu,Cassiano,PE,58147092,2025-08-03 09:47:40
1483,3811,Distrito Brayan Alves,89,Vila União,Câmara de Minas,ES,46435-698,2025-05-29 16:43:15
1484,922,Trevo Ana Sophia Teixeira,923,Santa Rita De Cássia,Peixoto,AM,23904700,2023-02-15 23:58:00
1485,1935,Passarela Araújo,5,Novo Aarão Reis,Oliveira de Minas,MT,24162055,2025-02-28 12:42:36
1486,1096,Conjunto de Caldeira,34,Santa Sofia,Costela,RS,71681-441,2023-04-26 18:10:44
1487,2897,Lagoa de Brito,79,Estoril,Azevedo,BA,11381-798,2025-11-18 20:42:12
1488,1140,Feira da Luz,671,Cenaculo,Sousa do Sul,MS,35839523,2023-04-03 01:01:12
1489,3499,Rodovia Oliveira,338,Conjunto Providencia,Rezende de Cirino,PI,98586-358,2025-02-15 18:04:08
1490,2639,Vila de Nunes,528,Novo Ouro Preto,Azevedo de Goiás,SP,44409987,2024-03-21 16:18:39
1491,3941,Área de Carvalho,72,Garças,Vargas do Galho,RO,67068-810,2025-02-03 16:51:24
1492,4632,Viela de Cassiano,30,Nova Vista,Porto do Oeste,MG,87881175,2022-12-04 16:22:38
1493,3739,Praça Helena Peixoto,35,Ermelinda,Montenegro,AM,64859-830,2025-10-12 19:13:06
1494,2348,Viaduto de Nogueira,844,Vila Da Paz,Carvalho de Souza,AP,38717957,2023-05-06 21:56:55
1495,2378,Viela Guilherme Fernandes,825,Vila Cemig,Vargas,AP,38290285,2024-09-11 03:23:21
1496,1731,Ladeira Vargas,92,Aguas Claras,Martins Grande,DF,16618797,2023-09-07 08:46:22
1497,3430,Jardim Carvalho,60,Jardim Atlântico,Mendonça,AL,69486-583,2025-06-24 01:21:30
1498,1334,Viaduto Mendes,80,Eymard,Mendes Alegre,SC,65066715,2023-11-20 13:06:24
1499,4422,Parque Noah Azevedo,645,Vitoria Da Conquista,Pires do Galho,PB,28351920,2023-10-28 08:17:47
1500,2416,Viaduto Juan Mendonça,9,Copacabana,Lima da Mata,RN,61219-678,2025-07-08 00:22:15
1501,4610,Estrada de Ramos,38,Bairro Das Indústrias Ii,da Cunha,DF,32235479,2024-05-20 05:57:03
1502,1158,Alameda Vitor Hugo Gonçalves,99,Bonsucesso,Aragão,GO,15331-034,2023-12-14 09:21:16
1503,1696,Esplanada Manuela Mendes,99,Boa Viagem,Vargas das Pedras,RR,23032-965,2023-01-26 00:11:36
1504,2158,Área Costela,98,Vila Do Pombal,da Conceição da Prata,TO,28100414,2023-06-09 13:47:20
1505,3593,Pátio de Machado,60,Leonina,Azevedo,AC,85538-433,2025-07-17 11:12:15
1506,501,Quadra Stephany Carvalho,982,Ernesto Nascimento,Brito das Flores,AL,88096-733,2025-05-13 16:50:17
1507,1548,Viela Aurora Novais,35,Ribeiro De Abreu,Silva,PI,14610-696,2024-01-23 03:14:42
1508,415,Trecho Nogueira,39,Camargos,Almeida,MS,62887-309,2025-05-07 21:21:09
1509,1932,Praia de Pinto,28,Vila São Gabriel Jacui,Melo Verde,MT,15664592,2023-01-26 23:37:51
1510,809,Viela Maria Sophia Cardoso,2,Salgado Filho,da Paz,GO,09456260,2025-10-11 17:33:00
1511,60,Campo de Ramos,89,Vila Nossa Senhora Do Rosário,Nunes,MA,33537427,2024-11-27 03:21:39
1512,2394,Trecho de Pires,59,Itaipu,Fonseca,AC,51929-140,2023-09-06 00:45:06
1513,3903,Rua Fernanda Oliveira,41,Estrela Do Oriente,da Cunha,PI,57270328,2024-01-01 16:06:03
1514,2356,Loteamento Yasmin Rezende,6,Varzea Da Palma,Mendes,PR,82914099,2024-07-18 13:26:23
1515,1331,Pátio Sampaio,35,Dona Clara,Jesus das Pedras,CE,34568-363,2025-04-20 21:55:57
1516,2959,Vereda Ramos,25,Vila Puc,Cardoso,RR,97169-608,2023-10-31 14:51:26
1517,2887,Distrito de das Neves,96,São Jorge 2ª Seção,Viana de Minas,MT,95436-005,2025-02-24 02:00:36
1518,2868,Parque Caroline Mendes,5,Vila Nova Paraíso,Oliveira de Almeida,SP,79135-602,2022-12-26 13:28:59
1519,1136,Alameda de Siqueira,102,Braúnas,Borges,BA,38931536,2023-11-09 10:16:29
1520,1928,Praia de Sá,22,Lagoa,Cardoso,SE,61179073,2024-02-17 19:36:36
1521,2074,Praça de Melo,329,Vila Nova Cachoeirinha 3ª Seção,Sá do Campo,PA,42335-092,2023-10-11 07:34:10
1522,2635,Núcleo de Ramos,32,Vila Nova,Alves,RJ,29171839,2023-02-25 19:24:05
1523,3264,Lagoa Otto Siqueira,71,Vila Minaslandia,Cardoso dos Dourados,BA,54636-287,2023-05-12 13:40:44
1524,1972,Avenida Vieira,71,São Tomaz,Castro Alegre,SE,48615087,2024-02-01 18:49:21
1525,4642,Chácara das Neves,482,Alta Tensão 2ª Seção,Barbosa do Sul,SC,57385-370,2023-09-01 05:50:53
1526,858,Estação da Mota,28,Alto Vera Cruz,Araújo de Minas,ES,13018721,2023-10-16 23:05:54
1527,982,Loteamento de da Rosa,6,Serra,Almeida Paulista,RS,55379-738,2023-07-24 14:45:45
1528,3651,Estrada Levi Abreu,2,Vila São Francisco,Ramos Grande,PB,93324062,2024-07-26 19:54:59
1529,1269,Favela Cirino,28,São Jorge 3ª Seção,Vieira de Cardoso,AM,89688-705,2025-09-13 19:21:34
1530,2617,Rua Rezende,1,Aparecida,Nunes,RO,21720-322,2025-01-03 08:23:31
1531,1970,Passarela Pereira,7,Itapoa,Camargo,PR,98364089,2025-01-14 00:52:02
1532,2685,Núcleo da Mota,16,Grotinha,Nunes de Machado,MA,57718-706,2023-03-11 02:03:58
1533,4315,Estrada Ana Sophia da Paz,74,Copacabana,Silva de Nunes,DF,61731036,2025-11-15 14:44:16
1534,1703,Ladeira Maria Fernanda Ribeiro,11,Santa Lúcia,Oliveira de Duarte,MS,88118651,2025-07-17 17:34:04
1535,3893,Passarela Pimenta,5,Vila São Dimas,Freitas,MG,70308187,2023-03-31 08:40:06
1536,1966,Lagoa Albuquerque,12,Dom Joaquim,Mendonça,AM,65344903,2024-09-10 17:50:20
1537,4749,Quadra Barbosa,355,Suzana,Souza de Minas,GO,75051922,2025-11-19 18:51:53
1538,214,Quadra Luan Barbosa,63,Teixeira Dias,Pinto da Praia,ES,17961378,2023-06-23 02:56:05
1539,4439,Viaduto Alves,9,Túnel De Ibirité,Martins da Mata,RJ,93934136,2024-09-07 11:31:43
1540,470,Residencial Costa,68,Havaí,Nascimento de Cunha,MT,28342554,2024-06-28 01:19:41
1541,4500,Vale de Cirino,3,Solimoes,Moreira de Farias,MA,27110138,2023-10-24 15:36:31
1542,1259,Trevo de Carvalho,10,Vila Havaí,Gonçalves,SP,47846-304,2023-05-01 16:15:00
1543,122,Distrito da Cunha,31,Floramar,da Paz de Barbosa,PI,12086954,2024-03-28 05:20:58
1544,684,Ladeira Laís Vieira,38,Urca,Sá de Pires,PA,59687499,2023-10-25 04:36:01
1545,3528,Distrito Agatha Cavalcante,9,Jardim Vitoria,Casa Grande,GO,19553-282,2024-05-23 03:05:53
1546,2638,Parque de Casa Grande,73,Vila Jardim São José,Pereira de da Mota,AM,57863-293,2025-11-01 17:55:01
1547,537,Ladeira Anna Liz Pereira,94,Vila Madre Gertrudes 2ª Seção,da Mata Alegre,GO,69697366,2023-06-06 21:28:00
1548,149,Distrito de Costa,1,Carlos Prates,Camargo,RN,36846974,2023-03-25 19:07:29
1549,1021,Núcleo Eduarda Porto,29,Vila Madre Gertrudes 4ª Seção,Albuquerque de Andrade,CE,94351107,2024-12-16 01:07:30
1550,3151,Trecho Pinto,866,Mariquinhas,Silva da Praia,TO,31763735,2025-05-20 20:08:38
1551,817,Distrito Melo,290,Castelo,Albuquerque da Mata,AC,70151538,2024-07-07 13:27:35
1552,4452,Área Ana Sophia Andrade,21,Bom Jesus,Pires do Amparo,PA,21001-248,2025-02-28 11:25:25
1553,3369,Alameda Maria Liz Leão,536,Pirineus,Casa Grande,RO,42983-885,2023-01-20 22:16:13
1554,3896,Alameda de Vargas,19,Braúnas,Dias,PA,29000-468,2024-02-23 05:08:07
1555,4702,Parque Zoe Montenegro,917,Jardim Atlântico,Fernandes da Mata,RS,44255630,2023-12-14 01:03:06
1556,2191,Largo de da Rosa,56,Barão Homem De Melo 2ª Seção,Aragão,AM,74118970,2025-03-11 10:10:28
1557,1785,Conjunto de Barbosa,80,Vila Santa Monica 1ª Seção,Sales Paulista,RR,00483-211,2022-12-11 03:15:23
1558,1881,Sítio de Nogueira,72,Dom Bosco,Rodrigues,RJ,30123-149,2024-12-09 03:35:58
